SKU,Nom,Description,Prix vente,Stock,Catégorie,Tags
maq-001,"Rouge à Lèvres Longue Tenue — Mat & Brillant","Rouge à lèvres haute pigmentation, formule longue tenue jusqu'à 12h. Disponible en 8 teintes adaptées aux carnations africaines. Texture veloutée, non desséchante.",85000,En stock,"","Longue tenue 12h | Non desséchant | 8 teintes | Sans paraben"
maq-002,"Fond de Teint Couvrant Peau Noire","Fond de teint spécialement formulé pour les peaux noires et métissées. Couverture modulable, fini naturel ou satiné. Tient toute la journée sans oxydation.",130000,En stock,"","Spécial peau noire | Anti-oxydation | SPF 20 | Fini naturel"
maq-003,"Palette 18 Ombres à Paupières — Smoky & Nude","Palette professionnelle 18 teintes allant du nude naturel au smoky dramatique. Poudre fine ultra-pigmentée, bonne adhérence, longue tenue.",95000,En stock,"","18 teintes | Ultra-pigmentée | Longue tenue | Usage pro"
maq-004,"Mascara Volume Extrême & Allongement","Mascara effet volume et allongement extrême. Brosse ergonomique séparant chaque cil. Formule waterproof résistante à la chaleur et à l'humidité.",70000,En stock,"","Waterproof | Volume × 3 | Anti-grumeaux | Résistant chaleur"
vis-001,"Crème Éclat & Uniformisante Peau Noire","Crème de soin spécialement formulée pour éclaircir et unifier le teint des peaux noires sans produits dangereux. Enrichie en niacinamide et vitamine C. Résultats visibles en 2 semaines.",150000,En stock,"","Sans mercure | Sans hydroquinone | Vitamine C | Résultats 2 semaines"
vis-002,"Sérum Vitamine C Anti-Taches Concentré","Sérum haute concentration en vitamine C pure (20%). Efface les taches, unifie le teint, stimule la production de collagène. Texture légère absorption rapide.",190000,En stock,"","Vitamine C 20% | Anti-taches | Anti-âge | Absorption rapide"
vis-003,"Masque Purifiant Argile & Charbon Actif","Masque visage à l'argile blanche et au charbon actif. Désincruste les pores, absorbe l'excès de sébum, purifie et matifie. Idéal peaux mixtes à grasses.",65000,En stock,"","Argile blanche | Charbon actif | Pores resserrés | Effet mat"
vis-004,"Huile d'Argan Pure Bio — Anti-Âge","Huile d'argan 100% pure et certifiée bio du Maroc. Nourrit, répare et illumine la peau. Anti-rides, anti-taches, idéale pour le visage, les cheveux et les ongles.",160000,En stock,"","100% pure | Certifiée bio | Multi-usage | Sans conservateur"
cor-001,"Lait Corporel Hydratant Parfumé — Rose & Vanille","Lait corps ultra-nourrissant enrichi en beurre de karité et huile de coco. Hydratation intense 24h, peau soyeuse et lumineuse. Parfum délicat rose et vanille.",120000,En stock,"","Beurre de karité | Hydratation 24h | Peau lumineuse | Parfum rose"
cor-002,"Huile de Coco Naturelle Multi-Usage","Huile de coco vierge pressée à froid. Idéale pour la peau, les cheveux et les ongles. Hydrate, nourrit et protège. 100% naturelle, sans additifs.",85000,En stock,"","Pressée à froid | Multi-usage | 100% naturelle | Peau & cheveux"
cor-003,"Gommage Corps Café & Sucre de Canne","Gommage exfoliant naturel au café et sucre de canne. Élimine les cellules mortes, stimule la circulation, peau douce et lumineuse. Parfum café gourmand.",110000,En stock,"","Exfoliant naturel | Anti-cellulite | Peau lumineuse | Parfum café"
par-001,"Parfum Oriental Rose & Oud — Longue Tenue","Parfum oriental de luxe aux notes de rose, oud et musc blanc. Sillage envoûtant, tenue exceptionnelle jusqu'à 24h. Formule concentrée façon parfumerie du Moyen-Orient.",260000,En stock,"","Tenue 24h | Notes doud | Sillage intense | Formule concentrée"
par-002,"Eau de Parfum Fleur de Guinée","Fragrance florale créée en hommage à la femme guinéenne. Notes de tête : hibiscus & jasmin. Notes de cœur : rose africaine. Notes de fond : santal & musc doux.",210000,En stock,"","Floral oriental | Tenue 12h | Hibiscus & jasmin | Fabriqué en Guinée"
par-003,"Brume Parfumée Musc & Vanille — Corps & Cheveux","Brume légère pour le corps et les cheveux aux notes douces de musc blanc et vanille bourbon. Peut être utilisée sur vêtements. Rechargeable.",90000,En stock,"","Corps & cheveux | Musc & vanille | Léger & frais | Rechargeable"
mod-001,"Ensemble Boubou Moderne — Tissus Africains","Ensemble boubou moderne en tissu africain brodé. Coupe contemporaine alliant tradition et élégance. Tailles disponibles : S, M, L, XL, XXL. Sur commande en différents coloris.",450000,En stock,"","Tissu africain | Sur mesure | Tailles S-XXL | Broderie main"
mod-002,"Robe Wax Africaine — Coupe Moderne","Robe en wax authentique africain. Coupe moderne et flatteuse, idéale pour les fêtes, cérémonies ou sorties. Tissu respirant adapté au climat guinéen.",380000,En stock,"","Wax authentique | Coupe moderne | Respirant | Pour cérémonies"
sav-001,"Savon à l'Huile d'Argan Pur — Éclat & Nutrition","Savon artisanal enrichi en huile d'argan du Maroc. Nettoie en douceur, nourrit et illumine la peau. Convient à tous types de peau, visage et corps. Fabriqué sans sulfates ni parabens.",35000,En stock,"","Huile dargan pure | Visage & corps | Sans sulfates | Tous types de peau"
sav-002,"Savon au Lait de Chameau — Anti-Âge & Hydratation","Savon premium au lait de chameau frais. Riche en vitamines A, B, C et en acides gras. Hydrate intensément, réduit les rides, unifie le teint. Résultats visibles en 2 semaines.",45000,En stock,"","Lait de chameau frais | Anti-âge | Vitamines A B C | Résultats 2 semaines"
sav-003,"Savon à la Résine Naturelle — Purifiant & Antiseptique","Savon traditionnel africain à la résine naturelle. Propriétés purifiantes et antiseptiques puissantes. Élimine les impuretés, combat l'acné, assainit la peau en profondeur. Recette ancestrale.",30000,En stock,"","Résine naturelle | Anti-acné | Antiseptique | Recette ancestrale"
sav-004,"Savon au Citron Africain — Éclat & Anti-Taches","Savon naturel au citron africain riche en vitamine C. Efface progressivement les taches, unifie et illumine le teint. Action exfoliante douce. Convient à toutes les carnations.",28000,En stock,"","Citron africain | Vitamine C naturelle | Anti-taches | Exfoliant doux"
sav-005,"Savon au Charbon Actif & Argile Noire — Détox Pores","Savon detox au charbon actif et argile noire du Maroc. Aspire les impuretés logées dans les pores, régule le sébum, affine le grain de peau. Idéal peaux grasses et mixtes.",32000,En stock,"","Charbon actif | Argile noire | Pores nets | Peaux grasses"
sav-006,"Savon au Beurre de Karité & Rose — Ultra-Nourrissant","Savon surgras au beurre de karité pur et pétales de rose. Nourrit intensément les peaux sèches et sensibles. Laisse la peau veloutée, douce et parfumée toute la journée.",32000,En stock,"","Beurre de karité | Pétales de rose | Peaux sèches | Surgras"
hom-001,"Parfum Homme Oriental — Oud & Bois de Santal","Parfum masculin intense aux notes d'oud noir, bois de santal et musc ambré. Sillage puissant, tenue exceptionnelle jusqu'à 24h. Flacon élégant, idéal en cadeau.",280000,En stock,"","Notes doud | Tenue 24h | Sillage intense | Idéal cadeau"
hom-002,"Crème Hydratante Homme — Légère & Non Grasse","Crème de soin formulée pour la peau masculine. Texture légère non grasse, absorption rapide. Hydrate, protège et unifie le teint. Enrichie en vitamine E et aloe vera.",95000,En stock,"","Non grasse | Absorption rapide | Vitamine E | Aloe vera"
hom-003,"Huile Barbe Premium à l'Argan & Jojoba","Huile barbe nourrissante à l'argan et jojoba. Adoucit, assouplit et fait briller la barbe. Élimine les démangeaisons et l'effet sec. Parfum boisé discret. Pour barbe courte ou longue.",75000,En stock,"","Argan & jojoba | Anti-démangeaisons | Barbe brillante | Parfum boisé"
hom-004,"After-Shave Naturel — Apaisant & Anti-Irritations","Lotion après-rasage à base d'aloe vera, hamamélis et huile d'argan. Apaise les irritations, referme les pores, hydrate la peau rasée. Fini mat et frais, parfum agrumes.",65000,En stock,"","Aloe vera | Anti-irritations | Pores resserrés | Parfum agrumes"
hom-005,"Savon Homme Actif — Charbon & Menthe Fraîche","Savon homme formulé pour les peaux masculines. Charbon actif purifiant + menthe fraîche tonifiante. Nettoie en profondeur, élimine les odeurs, laisse une sensation de fraîcheur durable.",35000,En stock,"","Charbon actif | Menthe fraîche | Anti-odeurs | Sensation fraîche"
bij-001,"Parure Collier & Boucles Perles Africaines","Parure complète collier + boucles d'oreilles en perles africaines authentiques. Travail artisanal guinéen. Parfaite pour mariage, baptême ou cérémonie.",120000,En stock,"","Artisanal guinéen | Perles naturelles | Collier + boucles | Pour cérémonies"
bij-002,"Set Bracelet Femme — Or & Plaqué Or","Set de 5 bracelets finement travaillés, mélange or jaune et plaqué or rose. Hypoallergéniques, résistants à l'eau. Idéal cadeau pour toutes les occasions.",75000,En stock,"","Set de 5 | Hypoallergénique | Résistant eau | Idéal cadeau"